date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:48	536093/536093	---M--	200	added ('OK')	image/png	etag:%2282e1d-57071382334c0%22	https://preview.colorlib.com/theme/travello/images/intro.png	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/intro.png	(from https://preview.colorlib.com/theme/travello/)
15:31:48	4404/4404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221134-5707136d38340%22	https://preview.colorlib.com/theme/travello/images/beach.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/beach.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:49	6673/6673	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a11-5707139269b00%22	https://preview.colorlib.com/theme/travello/images/wallet.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/wallet.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:49	6589/6589	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2219bd-5707138bbcb40%22	https://preview.colorlib.com/theme/travello/images/suitcase.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/suitcase.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:50	114598/114598	---M--	200	added ('OK')	image/jpeg	etag:%221bfa6-5707137108c40%22	https://preview.colorlib.com/theme/travello/images/destination_1.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_1.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:50	16551/16551	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Jul%202018%2023:33:47%20GMT	https://preview.colorlib.com/theme/travello/destinations.html	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/destinations.html	(from https://preview.colorlib.com/theme/travello/)
15:31:51	163495/163495	---M--	200	added ('OK')	image/jpeg	etag:%2227ea7-57071371fce80%22	https://preview.colorlib.com/theme/travello/images/destination_2.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_2.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:51	116048/116048	---M--	200	added ('OK')	image/jpeg	etag:%221c550-57071372f10c0%22	https://preview.colorlib.com/theme/travello/images/destination_3.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_3.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:52	57913/57913	---M--	200	added ('OK')	image/jpeg	etag:%22e239-57071373e5300%22	https://preview.colorlib.com/theme/travello/images/destination_4.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_4.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:52	139768/139768	---M--	200	added ('OK')	image/jpeg	etag:%22221f8-57071375cd780%22	https://preview.colorlib.com/theme/travello/images/destination_5.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_5.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:52	111442/111442	---M--	200	added ('OK')	image/jpeg	etag:%221b352-57071376c19c0%22	https://preview.colorlib.com/theme/travello/images/destination_6.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/destination_6.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:52	53616/53616	---M--	200	added ('OK')	image/jpeg	etag:%22d170-5707138603dc0%22	https://preview.colorlib.com/theme/travello/images/news_1.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/news_1.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:53	37934/37934	---M--	200	added ('OK')	image/jpeg	etag:%22942e-57071387ec240%22	https://preview.colorlib.com/theme/travello/images/news_2.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/news_2.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:53	113223/113223	---M--	200	added ('OK')	image/jpeg	etag:%221ba47-57071387ec240%22	https://preview.colorlib.com/theme/travello/images/news_3.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/news_3.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:54	2838/2838	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b16-5707138bbcb40%22	https://preview.colorlib.com/theme/travello/images/sign.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/sign.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:54	190147/190147	---M--	200	added ('OK')	image/jpeg	etag:%222e6c3-57071391758c0%22	https://preview.colorlib.com/theme/travello/images/travello.jpg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/travello.jpg	(from https://preview.colorlib.com/theme/travello/)
15:31:55	7822/7822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e8e-5707139269b00%22	https://preview.colorlib.com/theme/travello/images/trekking.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/trekking.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:55	5637/5637	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221605-5707136c44100%22	https://preview.colorlib.com/theme/travello/images/around.svg	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/images/around.svg	(from https://preview.colorlib.com/theme/travello/)
15:31:55	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226523afb0-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:56	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-5707139fc3a80-gzip%22	https://preview.colorlib.com/theme/travello/js/jquery-3.2.1.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/js/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:56	81670/81670	---M-Z	200	added ('OK')	application/javascript	etag:%2213f06-570713d8fc180-gzip%22	https://preview.colorlib.com/theme/travello/styles/bootstrap4/popper.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/bootstrap4/popper.js	(from https://preview.colorlib.com/theme/travello/)
15:31:56	50564/50564	---M-Z	200	added ('OK')	application/javascript	etag:%22c584-570713d8fc180-gzip%22	https://preview.colorlib.com/theme/travello/styles/bootstrap4/bootstrap.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/bootstrap4/bootstrap.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:57	85368/85368	---M-Z	200	added ('OK')	application/javascript	etag:%2214d78-570713c30cdc0-gzip%22	https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.carousel.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.carousel.js	(from https://preview.colorlib.com/theme/travello/)
15:31:57	35324/35324	---M-Z	200	added ('OK')	application/javascript	etag:%2289fc-570713be48280-gzip%22	https://preview.colorlib.com/theme/travello/plugins/Isotope/isotope.pkgd.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/Isotope/isotope.pkgd.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:58	2447/2447	---M-Z	200	added ('OK')	application/javascript	etag:%2298f-570713ce7e8c0-gzip%22	https://preview.colorlib.com/theme/travello/plugins/scrollTo/jquery.scrollTo.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/scrollTo/jquery.scrollTo.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:58	8305/8305	---M-Z	200	added ('OK')	application/javascript	etag:%222071-570713b1e2540-gzip%22	https://preview.colorlib.com/theme/travello/plugins/easing/easing.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/easing/easing.js	(from https://preview.colorlib.com/theme/travello/)
15:31:58	6868/6868	---M-Z	200	added ('OK')	application/javascript	etag:%221ad4-570713c9b9d80-gzip%22	https://preview.colorlib.com/theme/travello/plugins/parallax-js-master/parallax.min.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/parallax-js-master/parallax.min.js	(from https://preview.colorlib.com/theme/travello/)
15:31:59	4395/4395	---M-Z	200	added ('OK')	application/javascript	etag:%22112b-5707139ddb600-gzip%22	https://preview.colorlib.com/theme/travello/js/custom.js	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/js/custom.js	(from https://preview.colorlib.com/theme/travello/)
15:32:00	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-570713e561ec0%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:00	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-570713e561ec0%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:00	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-570713edf7300%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:01	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-570713eb1ac40%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:01	165548/165548	---MCZ	200	added ('OK')	font/ttf	etag:W/%22286ac-570713e83e580%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:02	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-570713c401000%22	https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.video.play.png	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.video.play.png	(from https://preview.colorlib.com/theme/travello/plugins/OwlCarousel2-2.2.1/owl.carousel.css)
15:32:02	20062/20062	---M-Z	200	added ('OK')	text/css	etag:%224e5e-570713a4885c0-gzip%22	https://preview.colorlib.com/theme/travello/styles/about.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/about.css	(from https://preview.colorlib.com/theme/travello/about.html)
15:32:03	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-570713fb51280%22	https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/travello/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
15:32:03	4642/4642	---M-Z	200	added ('OK')	text/css	etag:%221222-570713a4885c0-gzip%22	https://preview.colorlib.com/theme/travello/styles/about_responsive.css	C:/Users/vyshn/Downloads/demoweb/preview.colorlib.com/theme/travello/styles/about_responsive.css	(from https://preview.colorlib.com/theme/travello/about.html)
